docid,title,score,link,
55b73097e13823bd29ba8003,"Changes in stratigraphic nomenclature by the U. S. Geological Survey, 1970",3,https://www.sciencebase.gov/catalog/item/4f4e49e5e4b07f02db5e6c71,206Pb | 238U
5723a83dcf58f17984d9d3f2,"Studies on Latin American water mites of the genus Torrenticola Piersig, 1896 (Torrenticolidae, Hydrachnidia, Acari)",3,http://doi.wiley.com/10.1111/j.1096-3642.2007.00305.x,U/Pb | U-Pb | absolute age | 14C
55b2f105e138231cbdd6cf26,"Geological Survey research 1967, Chapter D",3,https://www.sciencebase.gov/catalog/item/4f4e4a51e4b07f02db62a256,argon dating
55b2c4ffe138231cbdd6ce44,"Geological Survey research 1968, Chapter B",3,https://www.sciencebase.gov/catalog/item/4f4e4adfe4b07f02db6877b3,U-Th
573cab4ccf58f1963f8d984f,The Quaternary of southern Spain: A bridge between Africa and the Alpine domain,3,http://www.sciencedirect.com/science/article/pii/S1040618211003193,geochronology | biostratigraphy | U-Th-Pb | U-Th
557ce1dee138239225f86a1f,"Publications of the U.S. Geological Survey, 1989",3,https://www.sciencebase.gov/catalog/item/5124ad66e4b0b6328103b507,radiocarbon | biostratigraphy
5833d45ccf58f112d8194387,"The early Pleistocene small vertebrate succession from the Orce region (Guadix-Baza Basin, SE Spain) and its bearing on the first human occupation of Europe",3,http://www.sciencedirect.com/science/article/pii/S1040618209004571,fission track | argon dating
55439fa4e138233dfd7d2ce5,"Stratigraphy, structure, and volcanic evolution of the Pico Teide–Pico Viejo formation, Tenerife, Canary Islands",3,http://www.sciencedirect.com/science/article/pii/S0377027300002249,geochronology | radiocarbon
54dad5e7e138235b0d06b500,"Petrogenesis and tectonic setting of the peralkaline Pine Canyon caldera, Trans-Pecos Texas, USA",3,http://www.sciencedirect.com/science/article/pii/S0024493706000727,fission track | argon dating
54b4325be138239d8684d393,"Victoriamys, a new generic name for Chaline's vole from the Pleistocene of Western Europe",3,http://www.sciencedirect.com/science/article/pii/S001669951200054X,fission track | paleomagnetism | argon dating
54f00e74e138237cc9152d72,"Paleosol evidence for Quaternary uplift and for climate and ecosystem changes in the Cordillera de Talamanca, Costa Rica",3,http://www.sciencedirect.com/science/article/pii/S0031018206006432,fission track | geochronology | biostratigraphy | argon dating
55a72307e13823757cc6fdfe,"New information resources of the U.S. Geological Survey Library System, March 1990",3,https://www.sciencebase.gov/catalog/item/4f4e4afee4b07f02db69767a,argon dating
55a7c8c6e13823757cc7025c,Selected published references on the geology and mineral resources of some Forest Service Wilderness and Roadless Areas in the United States,3,https://www.sciencebase.gov/catalog/item/4f4e4a03e4b07f02db5f832d,geochronology | biostratigraphy | absolute age
56c0e580cf58f15c72c8f506,Apparent and true polar wander and the geometry of the geomagnetic field over the last 200 Myr,3,http://doi.wiley.com/10.1029/2000JB000050,geochronology
55af0f9be13823763a830f8d,"Bibliography, index, and data sources for ground-water hydrology and geology of Colorado west of the continental divide",3,https://www.sciencebase.gov/catalog/item/4f4e4a4ce4b07f02db6261e3,biostratigraphy | argon dating
557c690de138239225f86820,"Geological Survey research 1969, Chapter D",3,https://www.sciencebase.gov/catalog/item/4f4e4adfe4b07f02db68774e,U-Th
557a1cece138233a711e17d2,"Surface water supply of the United States, 1945, Part VIII, Western Gulf of Mexico basins",3,https://www.sciencebase.gov/catalog/item/4f4e4afde4b07f02db696ffd,fission track | argon dating
56a48456cf58f1944252ba5b,"Bayesian event tree for long-term volcanic hazard assessment: Application to Teide-Pico Viejo stratovolcanoes, Tenerife, Canary Islands",3,http://doi.wiley.com/10.1029/2009JB006566,U/Pb | Ar/Ar | 39Ar | geochronology | U-Pb | 40Ar-39Ar | Ar-Ar | argon dating | 206Pb | 40Ar/39Ar | 40Ar
54b43265e138239d8684eda4,Chronology and provenance of last-glacial (Peoria) loess in western Iowa and paleoclimatic implications,3,http://www.sciencedirect.com/science/article/pii/S0033589413000707,biostratigraphy | paleomagnetic
579fc09fcf58f14956099b0f,Guest Editorial: Introduction to special issue on historical range of variability,3,http://doi.wiley.com/10.1002/esp.3357,U/Pb | fission track | geochronology | U-Pb
5721c694cf58f16c929ec572,"Geology and chronology of the continental Pleistocene archeological and paleontological sites of the Orce area (Baza basin, Spain)",3,http://www.sciencedirect.com/science/article/pii/S1040618211001947,U/Pb | 39Ar | U-Pb
55b397bce138231cbdd6d2a5,Glaciers of South America,3,https://www.sciencebase.gov/catalog/item/4f4e4abee4b07f02db674e98,paleomagnetism | paleomagnetic
576dfe44cf58f1839aeaa853,"Early Pleistocene environments and vertebrate dispersals in Western Europe: The case of Barranco de los Conejos (Guadix-Baza Basin, SE Spain)",3,http://www.sciencedirect.com/science/article/pii/S1040618212000717,U/Pb | paleomagnetism | 39Ar | geochronology | U-Pb | 40Ar-39Ar | 40Ar/39Ar | 40Ar | paleomagnetic
558f6fede13823109f3ee99c,"Quality of surface waters of the United States, 1949 : Parts 7 -14",3,https://www.sciencebase.gov/catalog/item/4f4e4a8be4b07f02db651be9,36Cl
55b6f9ace13823bd29ba7e98,Bibliography of North American geology for 1919-1920,3,https://www.sciencebase.gov/catalog/item/4f4e4a51e4b07f02db629939,14C
54b4326de138239d86850447,"A review of palaeobotanical findings of early Vitis in the mediterranean and of the origins of cultivated grape-vines, with special reference to new pointers to prehistoric exploitation in the western mediterranean",3,http://www.sciencedirect.com/science/article/pii/003466678990033X,electron spin resonance
557b5162e138239225f8636d,"Geological Survey research, 1975",3,https://www.sciencebase.gov/catalog/item/4f4e4adce4b07f02db68640d,geochronology | radiocarbon | 14C
572cf7cbcf58f13cf452f3f2,"Recovery of the black-footed ferret: progress and continuing challenges--Proceedings of the Symposium onthe Status of the Black-footed Ferret and Its Habitat, Fort Collins, Colorado, January 28-29, 2004",3,https://www.sciencebase.gov/catalog/item/4f4e4a60e4b07f02db635438,fission track | tephrochronology | geochronology | biostratigraphy
55ccd4d1cf58f190b49049d4,The geographical and chronological pattern of herpetofaunal Pleistocene extinctions on the Iberian Peninsula,3,http://www.sciencedirect.com/science/article/pii/S1631068315000755,fission track | biostratigraphy | argon dating
557c6e80e138239225f8683c,"Quality of surface waters of the United States, 1965, Parts 7 and 8, lower Mississippi River basin and western Gulf of Mexico basins",3,https://www.sciencebase.gov/catalog/item/4f4e4a8be4b07f02db651a39,fission track | Ar/Ar | paleomagnetism | 39Ar | 40Ar-39Ar | Ar-Ar | 40Ar/39Ar | 40Ar | paleomagnetic
574ad3e9cf58f13a7715a32e,Late Pleistocene–Recent marine malacological assemblages of the Colorado River delta (south of Buenos Aires Province): Paleoecology and paleoclimatology,3,http://www.sciencedirect.com/science/article/pii/S1040618215005121,U/Pb | 39Ar | geochronology | U-Pb | 40Ar-39Ar | 40Ar/39Ar | 40Ar
558ffeb6e13823109f3eed08,"Geological Survey research 1970, Chapter C",3,https://www.sciencebase.gov/catalog/item/4f4e4adfe4b07f02db68776b,39Ar | geochronology | biostratigraphy | 40Ar-39Ar | 40Ar/39Ar | 40Ar | paleomagnetic | thermochronology
55b6bd4ae13823bd29ba7d2a,Index to the geologic names of North America,3,https://www.sciencebase.gov/catalog/item/4f4e49f7e4b07f02db5f23a1,radiocarbon | 14C
579691c1cf58f182de583a41,Late Quaternary glaciation of Costa Rica,3,http://dx.doi.org/10.1130/0016-7606(2002)114<0547:lqgocr>2.0.co;2,U/Pb | U-Pb | argon dating | paleomagnetic
55045802e1382326932d8614,Calibration of the Early-Middle Pleistocene transition in the continental beds of the Guadix–Baza Basin (SE Spain),3,http://www.sciencedirect.com/science/article/pii/S0277379198001164,biostratigraphy | U-series | paleomagnetic
5503af37e1382326932d8186,"Phanerozoic polar wander, palaeogeography and dynamics",3,http://www.sciencedirect.com/science/article/pii/S0012825212000797,paleomagnetism | 39Ar | geochronology | 40Ar-39Ar | 40Ar/39Ar | 40Ar | U-Th | paleomagnetic
583343bdcf58f177a7b791f5,Discrete dispersal bioevents of large mammals in Southern Europe in the post-Olduvai Early Pleistocene: A critical overview,3,http://www.sciencedirect.com/science/article/pii/S104061821500806X,paleomagnetism | biostratigraphy | paleomagnetic
55b6af8be13823bd29ba7cd1,"Changes in stratigraphic nomenclature by the U.S. Geological Survey, 1972",3,https://www.sciencebase.gov/catalog/item/4f4e49e5e4b07f02db5e6ad0,radiocarbon
557c9b17e138239225f868f9,"Water resources data, New Mexico, water year 1982",3,https://www.sciencebase.gov/catalog/item/4f4e49f5e4b07f02db5f0d05,paleomagnetism | 39Ar | geochronology | 40Ar-39Ar | argon dating | (U-Th)/He | 40Ar/39Ar | U-Th/He | 40Ar | U-Th | paleomagnetic
571a205fcf58f182bf033b6e,Villafranchian: The long story of a Plio-Pleistocene European large mammal biochronologic unit,3,http://www.sciencedirect.com/science/article/pii/S1040618210000170,14C
,"Volcanic History of the San Juan Mountains, Colorado, as Indicated by Potassium�Argon Dating",1,https://pubs.geoscienceworld.org/gsa/gsabulletin/article/81/8/2329/6946/volcanic-history-of-the-san-juan-mountains,
,Tracking the evolution of large-volume silicic magma reservoirs from assembly to supereruption,1,https://pubs.geoscienceworld.org/gsa/geology/article/41/8/867/131311/tracking-the-evolution-of-large-volume-silicic,
,U-Pb zircon and titanite systematics of the Fish Canyon Tuff: an assessment of high-precision U-Pb geochronology and its application to young volcanic rocks,1,https://www.sciencedirect.com/science/article/pii/S0016703701006160,
