doc_id,url,terms
5a0b4151cf58f18684253c13,Archaeological Survey of Huntsville State Park and Excavations in.pdf,"{Opal-AN,Ice,Iron,Lead,Nickel,Opal,Quartz,Zinc,""Phase A"",Charcoal,gravel,sand,silt,sandstone,carbonate,coal,chert,glass,ash,slate,quartzite,clay,sedimentary,arenite,novaculite,alluvium,soil,paleosol,""quartz arenite""}"
5a0b4175cf58f18684253c24,Archaeological Testing at 41BP678 Bastrop County Texas.pdf,"{Dolomite,Lead,Nickel,Quartz,Silver,""Phase A"",Charcoal,gravel,sand,silt,mudstone,sandstone,conglomerate,carbonate,limestone,dolomite,lignite,chert,ash,metamorphic,clay,igneous,soil}"
5a0b3ffdcf58f18684253baa,Archaeological Testing at the Headwaters of the San Marcos River_.pdf,"{Ice,Iron,""Phase A"",Charcoal,gravel,sandstone,carbonate,limestone,coal,chert,glass,ash,clay,soil,paleosol}"
5a0b4114cf58f18684253c05,Archaeological Testing for a Proposed Landfill Expansion (Phase I.pdf,"{Calcite,""Phase A"",Travertine,gravel,sand,silt,carbonate,marl,limestone,chert,volcanic,tuff,clay,igneous,sedimentary,flint,travertine,pumice,alluvium,soil}"
5a0b4078cf58f18684253bd3,Archaeological Testing in the Devine Road Area North of Olmos Dam.pdf,"{Charcoal,gravel,sand,silt,limestone,chert,glass,clay,soil}"
5a0b4177cf58f18684253c25,Archaeological Testing of Four Sites on Camp Bowie Brown County.pdf,"{Copper,Iron,Lead,Maghemite,Nickel,Silver,""Phase A"",Charcoal,gravel,sand,silt,mud,sandstone,conglomerate,carbonate,limestone,lignite,granite,glass,ash,metamorphic,clay,sedimentary,alluvium,colluvium,soil,paleosol}"
5a0b4174cf58f18684253c22,Archaeological Testing of Site 41BX1199 Government Canyon State.pdf,"{Charcoal,gravel,limestone,chert,clay,soil}"
5a0b409ccf58f18684253bdd,Archaeological Testing of Six Sites Along U.S. Highway 56 El Paso.pdf,"{""Phase A"",Charcoal,gravel,sand,limestone,chert,rhyolite,basalt,soil,obsidian}"
5a0b40edcf58f18684253bf9,Archaeological Testing to Determine the National Register Eligibi.pdf,"{Calcite,Dolomite,Gold,Ice,Iron,Lead,Maghemite,Nickel,Palladium,Quartz,Manganese,""Phase A"",Charcoal,gravel,sand,silt,mud,mudstone,shale,siltstone,sandstone,conglomerate,carbonate,marl,limestone,dolomite,lignite,chert,ash,quartzite,clay,sedimentary,flint,alluvium,colluvium,soil}"
5a0b40eecf58f18684253bfa,Archaic Land Use of Upper Leon Creek Terraces_ Archaeological Tes.pdf,"{Hematite,Ice,Nickel,""Phase A"",Charcoal,gravel,sand,shale,carbonate,limestone,chert,clay,alluvium,soil,paleosol}"
5a0b4113cf58f18684253c04,Archeological Data Recovery Excavations along Becerra Creek (41WB.pdf,"{Agate,Gold,Ice,Iron,Lead,Maghemite,Nickel,Palladium,Silicon,""Phase A"",Charcoal,gravel,sand,silt,sandstone,carbonate,limestone,coal,chert,rhyolite,glass,ash,quartzite,clay,flint,alluvium,soil,paleosol}"
5a0b40c4cf58f18684253be7,Archeological Investigations and National Register Testing at 41C.pdf,"{Diamond,Quartz,Silver,Manganese,""Phase A"",Charcoal,gravel,sand,silt,mud,sandstone,carbonate,limestone,chert,ash,metamorphic,quartzite,clay,igneous,sedimentary,novaculite,alluvium,colluvium,soil,paleosol}"
5a0b414ecf58f18684253c12,Archeological Investigations at 41CP220 41CP20 and 41CP21-2.pdf,"{Agate,Alum,Amalgam,Amethyst,Antimony,""Antimonial Arsenic"",Aquamarine,Arsenic,Biotite,Chromium,Copper,Diamond,Feldspar,Glauconite,Gold,Hematite,Ice,Iron,Kaolinite,Lead,Microcline,Nickel,Quartz,Selenium,Silicon,Sulphur,Tin,Turquoise,Zinc,Tantalum,Titanium,""K Feldspar"",Chlorite,Manganese,""Phase A"",Cobalt,Charcoal,Ytterbium,Vanadium,Cerium,gravel,sand,silt,mud,siltstone,sandstone,carbonate,coal,lignite,chert,ironstone,diorite,volcanic,basalt,glass,ash,tuff,metamorphic,schist,quartzite,greenstone,clay,igneous,sedimentary,grit,loess,flint,pelite,novaculite,alluvium,soil,obsidian}"
5a0b4186cf58f18684253c27,Archeological Investigations at 41CP220 41CP20 and 41CP21.pdf,"{Agate,Alum,Amalgam,Amethyst,Antimony,""Antimonial Arsenic"",Aquamarine,Arsenic,Biotite,Chromium,Copper,Diamond,Feldspar,Glauconite,Gold,Hematite,Ice,Iron,Kaolinite,Lead,Microcline,Nickel,Quartz,Selenium,Silicon,Sulphur,Tin,Turquoise,Zinc,Tantalum,Titanium,""K Feldspar"",Chlorite,Manganese,""Phase A"",Cobalt,Charcoal,Ytterbium,Vanadium,Cerium,gravel,sand,silt,mud,siltstone,sandstone,carbonate,coal,lignite,chert,ironstone,diorite,volcanic,basalt,glass,ash,tuff,metamorphic,schist,quartzite,greenstone,clay,igneous,sedimentary,grit,loess,flint,pelite,novaculite,alluvium,soil,obsidian}"
5a0b4131cf58f18684253c10,Archeological Investigations at Fort Boggy State Park Leon Count.pdf,"{Aquamarine,Diamond,Hematite,Iron,Lead,Quartz,Sulphur,Tin,Zinc,Manganese,""Phase A"",Cobalt,Charcoal,gravel,sand,mud,sandstone,carbonate,limestone,lignite,chert,ironstone,granite,glass,ash,slate,quartzite,marble,clay,flint,novaculite,alluvium,soil}"
5a0b3fdbcf58f18684253b98,Archeological Investigations at the Lang Pasture Site (41AN38) in.pdf,"{Agate,Amalgam,Antimony,Arsenic,Chromium,Corundum,Copper,Diamond,Dolomite,Feldspar,Glauconite,Hematite,Ice,Iron,Kaolinite,Lead,Limonite,Nickel,Quartz,Silicon,Sulphur,Turquoise,Zinc,Tantalum,Titanium,Tungsten,""K Feldspar"",Manganese,""Phase A"",Apatite,Cobalt,Charcoal,Ytterbium,Vanadium,Magnesium,Cerium,gravel,sand,silt,mud,mudstone,shale,siltstone,sandstone,carbonate,marl,limestone,dolomite,coal,peat,lignite,chert,ironstone,volcanic,basalt,glass,ash,metamorphic,quartzite,greenstone,clay,igneous,sedimentary,grit,loess,flint,oolite,novaculite,alluvium,colluvium,soil,obsidian}"
5a0b40c2cf58f18684253be6,Archeological Investigations at the Santa Maria Creek Site (41CW1.pdf,"{Agate,Alum,Amalgam,Antimony,Arsenic,Biotite,Chromium,Copper,Dolomite,Feldspar,Gold,Hematite,Hornblende,Iron,Lead,Maghemite,Muscovite,Montmorillonite,Nickel,Quartz,Silicon,Turquoise,Zinc,Tantalum,Titanium,Chlorite,Manganese,""Phase A"",Cobalt,Charcoal,Ytterbium,Vanadium,Cerium,gravel,sand,silt,shale,sandstone,conglomerate,carbonate,marl,limestone,dolomite,coal,peat,lignite,tar,chert,granite,granodiorite,gabbro,basalt,glass,ash,metamorphic,quartzite,chalk,clay,igneous,sedimentary,grit,flint,arenite,alluvium,colluvium,soil,paleosol,""quartz arenite"",obsidian}"
5a0b4039cf58f18684253bbb,Archeological Survey and Testing of Selected Prehistoric Sites al.pdf,"{""Phase A"",Charcoal,gravel,sand,shale,siltstone,sandstone,breccia,carbonate,marl,limestone,peat,lignite,chert,ironstone,basalt,glass,ash,quartzite,clay,igneous,alluvium,colluvium,soil}"
5a0b415dcf58f18684253c17,Archeological Survey for the Loop 410 Improvements Project City o.pdf,"{Iron,Lead,Nickel,Quartz,""Phase A"",Charcoal,gravel,sand,silt,limestone,peat,chert,glass,ash,clay,soil}"
5a0b3ffbcf58f18684253ba6,Archeological Survey Investigations at Martin Creek Lake State Pa.pdf,"{Agate,Copper,Dolomite,Hematite,Ice,Iron,Kaolinite,Lead,Quartz,Sulphur,Tin,Turquoise,Zinc,Manganese,""Phase A"",Charcoal,gravel,sand,mud,mudstone,siltstone,sandstone,carbonate,dolomite,lignite,chert,ironstone,glass,ash,quartzite,greenstone,clay,novaculite,alluvium,soil}"
5a0b4062cf58f18684253bca,Archeological Test Excavations at 41WM543 on FM 734 the Parmer L.pdf,"{Dolomite,Graphite,Lead,Silver,""Phase A"",Charcoal,gravel,silt,sandstone,limestone,dolomite,chert,glass,ash,clay,alluvium,soil}"
5a0b416bcf58f18684253c1a,Archeological Testing and Data Recovery at 41ZV202.pdf,"{Gypsum,Iron,Lead,Maghemite,Malachite,Nickel,Silicon,""Phase A"",Charcoal,gravel,sand,silt,shale,siltstone,sandstone,carbonate,marl,limestone,gypsum,peat,lignite,chert,volcanic,basalt,glass,ash,chalk,clay,igneous,sedimentary,alluvium,soil}"
